linea,tren_id,portador,estacion,dist_km,hora_min
L1,C-FEPASA-50083,FEPASA,Gomero,15.324,338.0
L1,C-FEPASA-50083,FEPASA,Talcamávida,22.798,372.0
L1,C-FEPASA-50083,FEPASA,Unihue,29.397,388.0
L1,C-FEPASA-50083,FEPASA,Hualqui,46.917,494.0
L1,C-FEPASA-50083,FEPASA,La Leonera,55.32,518.0
L1,C-FEPASA-50083,FEPASA,Chiguayante,60.31,548.0
L1,C-FEPASA-50083,FEPASA,CONCEPCIÓN,68.521,573.0
L1,C-FEPASA-50084,FEPASA,Laja,1.6,469.0
L1,C-FEPASA-50084,FEPASA,SAN ROSENDO,4.0,477.0
L1,C-FEPASA-50084,FEPASA,Buenuraqui,8.467,572.0
L1,C-FEPASA-50084,FEPASA,Gomero,15.324,584.0
L1,C-FEPASA-50084,FEPASA,Talcamávida,22.798,604.0
L1,C-FEPASA-50084,FEPASA,Unihue,29.397,614.0
L1,C-FEPASA-50084,FEPASA,Quilacoya,36.53,627.0
L1,C-FEPASA-50084,FEPASA,Hualqui,46.917,643.0
L1,C-FEPASA-50084,FEPASA,La Leonera,55.32,671.0
L1,C-FEPASA-50084,FEPASA,Chiguayante,60.31,703.0
L1,C-FEPASA-50084,FEPASA,CONCEPCIÓN,68.521,719.0
L1,C-FEPASA-50084,FEPASA,EL ARENAL,82.79,741.0
L1,C-FEPASA-50089,FEPASA,Chiguayante,60.31,0.0
L1,C-FEPASA-50089,FEPASA,SAN ROSENDO,4.0,1286.0
L1,C-FEPASA-50090,FEPASA,EL ARENAL,82.79,580.0
L1,C-FEPASA-50090,FEPASA,CONCEPCIÓN,68.521,600.0
L1,C-FEPASA-50090,FEPASA,Chiguayante,60.31,617.0
L1,C-FEPASA-50090,FEPASA,La Leonera,55.32,624.0
L1,C-FEPASA-50090,FEPASA,Hualqui,46.917,637.0
L1,C-FEPASA-50090,FEPASA,Quilacoya,36.53,661.0
L1,C-FEPASA-50090,FEPASA,Unihue,29.397,673.0
L1,C-FEPASA-50090,FEPASA,Talcamávida,22.798,683.0
L1,C-FEPASA-50090,FEPASA,Gomero,15.324,712.0
L1,C-FEPASA-50090,FEPASA,Buenuraqui,8.467,724.0
L1,C-FEPASA-50090,FEPASA,SAN ROSENDO,4.0,738.0
