linea,tren_id,sentido,estacion,dist_km,hora_min
L2,L2-CC->CW-3,CC->CW,Laguna Quiñenco,26.302,365.08
L2,L2-CC->CW-3,CC->CW,CORONEL,28.4,367.58
L2,L2-CC->CW-4,CC->CW,CONCEPCIÓN,0.0,345.0
L2,L2-CC->CW-4,CC->CW,Juan Pablo II,3.838,350.67
L2,L2-CC->CW-4,CC->CW,Diagonal Bio Bio,5.569,353.08
L2,L2-CC->CW-4,CC->CW,Alborada,7.442,355.58
L2,L2-CC->CW-4,CC->CW,Costa Mar,8.339,357.17
L2,L2-CC->CW-4,CC->CW,El Parque,9.614,359.42
L2,L2-CC->CW-4,CC->CW,LOMAS COLORADAS,10.983,361.83
L2,L2-CC->CW-4,CC->CW,Card. Raúl Silva Henriquez,13.151,364.42
L2,L2-CC->CW-4,CC->CW,Hito Galvarino,18.048,370.25
L2,L2-CC->CW-4,CC->CW,Los Canelos,21.125,373.92
L2,L2-CC->CW-4,CC->CW,Huinca,22.524,375.58
L2,L2-CC->CW-4,CC->CW,Cristo Redentor,24.203,377.58
L2,L2-CC->CW-4,CC->CW,Laguna Quiñenco,26.302,380.08
L2,L2-CC->CW-4,CC->CW,CORONEL,28.4,382.58
L2,L2-CC->CW-5,CC->CW,CONCEPCIÓN,0.0,360.0
L2,L2-CC->CW-5,CC->CW,Juan Pablo II,3.838,365.67
L2,L2-CC->CW-5,CC->CW,Diagonal Bio Bio,5.569,368.08
L2,L2-CC->CW-5,CC->CW,Alborada,7.442,370.58
L2,L2-CC->CW-5,CC->CW,Costa Mar,8.339,372.17
L2,L2-CC->CW-5,CC->CW,El Parque,9.614,374.42
L2,L2-CC->CW-5,CC->CW,LOMAS COLORADAS,10.983,376.83
L2,L2-CC->CW-5,CC->CW,Card. Raúl Silva Henriquez,13.151,379.42
L2,L2-CC->CW-5,CC->CW,Hito Galvarino,18.048,385.25
L2,L2-CC->CW-5,CC->CW,Los Canelos,21.125,388.92
L2,L2-CC->CW-5,CC->CW,Huinca,22.524,390.58
L2,L2-CC->CW-5,CC->CW,Cristo Redentor,24.203,392.58
L2,L2-CC->CW-5,CC->CW,Laguna Quiñenco,26.302,395.08
L2,L2-CC->CW-5,CC->CW,CORONEL,28.4,397.58
L2,L2-CC->CW-6,CC->CW,CONCEPCIÓN,0.0,375.0
L2,L2-CC->CW-6,CC->CW,Juan Pablo II,3.838,380.67
L2,L2-CC->CW-6,CC->CW,Diagonal Bio Bio,5.569,383.08
L2,L2-CC->CW-6,CC->CW,Alborada,7.442,385.58
L2,L2-CC->CW-6,CC->CW,Costa Mar,8.339,387.17
L2,L2-CC->CW-6,CC->CW,El Parque,9.614,389.42
L2,L2-CC->CW-6,CC->CW,LOMAS COLORADAS,10.983,391.83
L2,L2-CC->CW-6,CC->CW,Card. Raúl Silva Henriquez,13.151,394.42
L2,L2-CC->CW-6,CC->CW,Hito Galvarino,18.048,400.25
L2,L2-CC->CW-6,CC->CW,Los Canelos,21.125,403.92
L2,L2-CC->CW-6,CC->CW,Huinca,22.524,405.58
L2,L2-CC->CW-6,CC->CW,Cristo Redentor,24.203,407.58
L2,L2-CC->CW-6,CC->CW,Laguna Quiñenco,26.302,410.08
L2,L2-CC->CW-6,CC->CW,CORONEL,28.4,412.58
L2,L2-CC->CW-7,CC->CW,CONCEPCIÓN,0.0,390.0
L2,L2-CC->CW-7,CC->CW,Juan Pablo II,3.838,395.67
L2,L2-CC->CW-7,CC->CW,Diagonal Bio Bio,5.569,398.08
L2,L2-CC->CW-7,CC->CW,Alborada,7.442,400.58
L2,L2-CC->CW-7,CC->CW,Costa Mar,8.339,402.17
L2,L2-CC->CW-7,CC->CW,El Parque,9.614,404.42
L2,L2-CC->CW-7,CC->CW,LOMAS COLORADAS,10.983,406.83
L2,L2-CC->CW-7,CC->CW,Card. Raúl Silva Henriquez,13.151,409.42
L2,L2-CC->CW-7,CC->CW,Hito Galvarino,18.048,415.25
L2,L2-CC->CW-7,CC->CW,Los Canelos,21.125,418.92
L2,L2-CC->CW-7,CC->CW,Huinca,22.524,420.58
L2,L2-CC->CW-7,CC->CW,Cristo Redentor,24.203,422.58
L2,L2-CC->CW-7,CC->CW,Laguna Quiñenco,26.302,425.08
L2,L2-CC->CW-7,CC->CW,CORONEL,28.4,427.58
L2,L2-CC->CW-8,CC->CW,CONCEPCIÓN,0.0,405.0
L2,L2-CC->CW-8,CC->CW,Juan Pablo II,3.838,410.67
L2,L2-CC->CW-8,CC->CW,Diagonal Bio Bio,5.569,413.08
L2,L2-CC->CW-8,CC->CW,Alborada,7.442,415.58
L2,L2-CC->CW-8,CC->CW,Costa Mar,8.339,417.17
L2,L2-CC->CW-8,CC->CW,El Parque,9.614,419.42
L2,L2-CC->CW-8,CC->CW,LOMAS COLORADAS,10.983,421.83
L2,L2-CC->CW-8,CC->CW,Card. Raúl Silva Henriquez,13.151,424.42
L2,L2-CC->CW-8,CC->CW,Hito Galvarino,18.048,430.25
L2,L2-CC->CW-8,CC->CW,Los Canelos,21.125,433.92
L2,L2-CC->CW-8,CC->CW,Huinca,22.524,435.58
L2,L2-CC->CW-8,CC->CW,Cristo Redentor,24.203,437.58
L2,L2-CC->CW-8,CC->CW,Laguna Quiñenco,26.302,440.08
L2,L2-CC->CW-8,CC->CW,CORONEL,28.4,442.58
L2,L2-CC->CW-9,CC->CW,CONCEPCIÓN,0.0,420.0
L2,L2-CC->CW-9,CC->CW,Juan Pablo II,3.838,425.67
L2,L2-CC->CW-9,CC->CW,Diagonal Bio Bio,5.569,428.08
L2,L2-CC->CW-9,CC->CW,Alborada,7.442,430.58
L2,L2-CC->CW-9,CC->CW,Costa Mar,8.339,432.17
L2,L2-CC->CW-9,CC->CW,El Parque,9.614,434.42
L2,L2-CC->CW-9,CC->CW,LOMAS COLORADAS,10.983,436.83
L2,L2-CC->CW-9,CC->CW,Card. Raúl Silva Henriquez,13.151,439.42
L2,L2-CC->CW-9,CC->CW,Hito Galvarino,18.048,445.25
L2,L2-CC->CW-9,CC->CW,Los Canelos,21.125,448.92
L2,L2-CC->CW-9,CC->CW,Huinca,22.524,450.58
L2,L2-CC->CW-9,CC->CW,Cristo Redentor,24.203,452.58
L2,L2-CC->CW-9,CC->CW,Laguna Quiñenco,26.302,455.08
L2,L2-CC->CW-9,CC->CW,CORONEL,28.4,457.58
L2,L2-CC->CW-10,CC->CW,CONCEPCIÓN,0.0,435.0
L2,L2-CC->CW-10,CC->CW,Juan Pablo II,3.838,440.67
L2,L2-CC->CW-10,CC->CW,Diagonal Bio Bio,5.569,443.08
L2,L2-CC->CW-10,CC->CW,Alborada,7.442,445.58
L2,L2-CC->CW-10,CC->CW,Costa Mar,8.339,447.17
L2,L2-CC->CW-10,CC->CW,El Parque,9.614,449.42
L2,L2-CC->CW-10,CC->CW,LOMAS COLORADAS,10.983,451.83
L2,L2-CC->CW-10,CC->CW,Card. Raúl Silva Henriquez,13.151,454.42
L2,L2-CC->CW-10,CC->CW,Hito Galvarino,18.048,460.25
L2,L2-CC->CW-10,CC->CW,Los Canelos,21.125,463.92
L2,L2-CC->CW-10,CC->CW,Huinca,22.524,465.58
L2,L2-CC->CW-10,CC->CW,Cristo Redentor,24.203,467.58
L2,L2-CC->CW-10,CC->CW,Laguna Quiñenco,26.302,470.08
L2,L2-CC->CW-10,CC->CW,CORONEL,28.4,472.58
L2,L2-CC->CW-11,CC->CW,CONCEPCIÓN,0.0,450.0
L2,L2-CC->CW-11,CC->CW,Juan Pablo II,3.838,455.67
L2,L2-CC->CW-11,CC->CW,Diagonal Bio Bio,5.569,458.08
L2,L2-CC->CW-11,CC->CW,Alborada,7.442,460.58
L2,L2-CC->CW-11,CC->CW,Costa Mar,8.339,462.17
L2,L2-CC->CW-11,CC->CW,El Parque,9.614,464.42
L2,L2-CC->CW-11,CC->CW,LOMAS COLORADAS,10.983,466.83
L2,L2-CC->CW-11,CC->CW,Card. Raúl Silva Henriquez,13.151,469.42
L2,L2-CC->CW-11,CC->CW,Hito Galvarino,18.048,475.25
L2,L2-CC->CW-11,CC->CW,Los Canelos,21.125,478.92
L2,L2-CC->CW-11,CC->CW,Huinca,22.524,480.58
L2,L2-CC->CW-11,CC->CW,Cristo Redentor,24.203,482.58
L2,L2-CC->CW-11,CC->CW,Laguna Quiñenco,26.302,485.08
L2,L2-CC->CW-11,CC->CW,CORONEL,28.4,487.58
L2,L2-CC->CW-12,CC->CW,CONCEPCIÓN,0.0,465.0
L2,L2-CC->CW-12,CC->CW,Juan Pablo II,3.838,470.67
L2,L2-CC->CW-12,CC->CW,Diagonal Bio Bio,5.569,473.08
L2,L2-CC->CW-12,CC->CW,Alborada,7.442,475.58
L2,L2-CC->CW-12,CC->CW,Costa Mar,8.339,477.17
L2,L2-CC->CW-12,CC->CW,El Parque,9.614,479.42
L2,L2-CC->CW-12,CC->CW,LOMAS COLORADAS,10.983,481.83
L2,L2-CC->CW-12,CC->CW,Card. Raúl Silva Henriquez,13.151,484.42
L2,L2-CC->CW-12,CC->CW,Hito Galvarino,18.048,490.25
L2,L2-CC->CW-12,CC->CW,Los Canelos,21.125,493.92
L2,L2-CC->CW-12,CC->CW,Huinca,22.524,495.58
L2,L2-CC->CW-12,CC->CW,Cristo Redentor,24.203,497.58
L2,L2-CC->CW-12,CC->CW,Laguna Quiñenco,26.302,500.08
L2,L2-CC->CW-12,CC->CW,CORONEL,28.4,502.58
L2,L2-CC->CW-13,CC->CW,CONCEPCIÓN,0.0,480.0
L2,L2-CC->CW-13,CC->CW,Juan Pablo II,3.838,485.67
L2,L2-CC->CW-13,CC->CW,Diagonal Bio Bio,5.569,488.08
L2,L2-CC->CW-13,CC->CW,Alborada,7.442,490.58
L2,L2-CC->CW-13,CC->CW,Costa Mar,8.339,492.17
L2,L2-CC->CW-13,CC->CW,El Parque,9.614,494.42
L2,L2-CC->CW-13,CC->CW,LOMAS COLORADAS,10.983,496.83
L2,L2-CC->CW-13,CC->CW,Card. Raúl Silva Henriquez,13.151,499.42
L2,L2-CC->CW-13,CC->CW,Hito Galvarino,18.048,505.25
L2,L2-CC->CW-13,CC->CW,Los Canelos,21.125,508.92
L2,L2-CC->CW-13,CC->CW,Huinca,22.524,510.58
L2,L2-CC->CW-13,CC->CW,Cristo Redentor,24.203,512.58
L2,L2-CC->CW-13,CC->CW,Laguna Quiñenco,26.302,515.08
L2,L2-CC->CW-13,CC->CW,CORONEL,28.4,517.58
L2,L2-CC->CW-14,CC->CW,CONCEPCIÓN,0.0,495.0
L2,L2-CC->CW-14,CC->CW,Juan Pablo II,3.838,500.67
L2,L2-CC->CW-14,CC->CW,Diagonal Bio Bio,5.569,503.08
L2,L2-CC->CW-14,CC->CW,Alborada,7.442,505.58
L2,L2-CC->CW-14,CC->CW,Costa Mar,8.339,507.17
L2,L2-CC->CW-14,CC->CW,El Parque,9.614,509.42
L2,L2-CC->CW-14,CC->CW,LOMAS COLORADAS,10.983,511.83
L2,L2-CC->CW-14,CC->CW,Card. Raúl Silva Henriquez,13.151,514.42
L2,L2-CC->CW-14,CC->CW,Hito Galvarino,18.048,520.25
L2,L2-CC->CW-14,CC->CW,Los Canelos,21.125,523.92
L2,L2-CC->CW-14,CC->CW,Huinca,22.524,525.58
L2,L2-CC->CW-14,CC->CW,Cristo Redentor,24.203,527.58
L2,L2-CC->CW-14,CC->CW,Laguna Quiñenco,26.302,530.08
L2,L2-CC->CW-14,CC->CW,CORONEL,28.4,532.58
L2,L2-CC->CW-15,CC->CW,CONCEPCIÓN,0.0,510.0
L2,L2-CC->CW-15,CC->CW,Juan Pablo II,3.838,515.67
L2,L2-CC->CW-15,CC->CW,Diagonal Bio Bio,5.569,518.08
L2,L2-CC->CW-15,CC->CW,Alborada,7.442,520.58
L2,L2-CC->CW-15,CC->CW,Costa Mar,8.339,522.17
L2,L2-CC->CW-15,CC->CW,El Parque,9.614,524.42
L2,L2-CC->CW-15,CC->CW,LOMAS COLORADAS,10.983,526.83
L2,L2-CC->CW-15,CC->CW,Card. Raúl Silva Henriquez,13.151,529.42
L2,L2-CC->CW-15,CC->CW,Hito Galvarino,18.048,535.25
L2,L2-CC->CW-15,CC->CW,Los Canelos,21.125,538.92
L2,L2-CC->CW-15,CC->CW,Huinca,22.524,540.58
L2,L2-CC->CW-15,CC->CW,Cristo Redentor,24.203,542.58
L2,L2-CC->CW-15,CC->CW,Laguna Quiñenco,26.302,545.08
L2,L2-CC->CW-15,CC->CW,CORONEL,28.4,547.58
L2,L2-CC->CW-16,CC->CW,CONCEPCIÓN,0.0,525.0
L2,L2-CC->CW-16,CC->CW,Juan Pablo II,3.838,530.67
L2,L2-CC->CW-16,CC->CW,Diagonal Bio Bio,5.569,533.08
L2,L2-CC->CW-16,CC->CW,Alborada,7.442,535.58
L2,L2-CC->CW-16,CC->CW,Costa Mar,8.339,537.17
L2,L2-CC->CW-16,CC->CW,El Parque,9.614,539.42
L2,L2-CC->CW-16,CC->CW,LOMAS COLORADAS,10.983,541.83
L2,L2-CC->CW-16,CC->CW,Card. Raúl Silva Henriquez,13.151,544.42
L2,L2-CC->CW-16,CC->CW,Hito Galvarino,18.048,550.25
L2,L2-CC->CW-16,CC->CW,Los Canelos,21.125,553.92
L2,L2-CC->CW-16,CC->CW,Huinca,22.524,555.58
L2,L2-CC->CW-16,CC->CW,Cristo Redentor,24.203,557.58
L2,L2-CC->CW-16,CC->CW,Laguna Quiñenco,26.302,560.08
L2,L2-CC->CW-16,CC->CW,CORONEL,28.4,562.58
L2,L2-CC->CW-17,CC->CW,CONCEPCIÓN,0.0,540.0
L2,L2-CC->CW-17,CC->CW,Juan Pablo II,3.838,545.67
L2,L2-CC->CW-17,CC->CW,Diagonal Bio Bio,5.569,548.08
L2,L2-CC->CW-17,CC->CW,Alborada,7.442,550.58
L2,L2-CC->CW-17,CC->CW,Costa Mar,8.339,552.17
L2,L2-CC->CW-17,CC->CW,El Parque,9.614,554.42
L2,L2-CC->CW-17,CC->CW,LOMAS COLORADAS,10.983,556.83
L2,L2-CC->CW-17,CC->CW,Card. Raúl Silva Henriquez,13.151,559.42
L2,L2-CC->CW-17,CC->CW,Hito Galvarino,18.048,565.25
L2,L2-CC->CW-17,CC->CW,Los Canelos,21.125,568.92
L2,L2-CC->CW-17,CC->CW,Huinca,22.524,570.58
L2,L2-CC->CW-17,CC->CW,Cristo Redentor,24.203,572.58
L2,L2-CC->CW-17,CC->CW,Laguna Quiñenco,26.302,575.08
L2,L2-CC->CW-17,CC->CW,CORONEL,28.4,577.58
L2,L2-CC->CW-18,CC->CW,CONCEPCIÓN,0.0,555.0
L2,L2-CC->CW-18,CC->CW,Juan Pablo II,3.838,560.67
L2,L2-CC->CW-18,CC->CW,Diagonal Bio Bio,5.569,563.08
L2,L2-CC->CW-18,CC->CW,Alborada,7.442,565.58
L2,L2-CC->CW-18,CC->CW,Costa Mar,8.339,567.17
L2,L2-CC->CW-18,CC->CW,El Parque,9.614,569.42
L2,L2-CC->CW-18,CC->CW,LOMAS COLORADAS,10.983,571.83
L2,L2-CC->CW-18,CC->CW,Card. Raúl Silva Henriquez,13.151,574.42
L2,L2-CC->CW-18,CC->CW,Hito Galvarino,18.048,580.25
L2,L2-CC->CW-18,CC->CW,Los Canelos,21.125,583.92
L2,L2-CC->CW-18,CC->CW,Huinca,22.524,585.58
L2,L2-CC->CW-18,CC->CW,Cristo Redentor,24.203,587.58
L2,L2-CC->CW-18,CC->CW,Laguna Quiñenco,26.302,590.08
L2,L2-CC->CW-18,CC->CW,CORONEL,28.4,592.58
L2,L2-CC->CW-19,CC->CW,CONCEPCIÓN,0.0,570.0
L2,L2-CC->CW-19,CC->CW,Juan Pablo II,3.838,575.67
L2,L2-CC->CW-19,CC->CW,Diagonal Bio Bio,5.569,578.08
L2,L2-CC->CW-19,CC->CW,Alborada,7.442,580.58
L2,L2-CC->CW-19,CC->CW,Costa Mar,8.339,582.17
L2,L2-CC->CW-19,CC->CW,El Parque,9.614,584.42
L2,L2-CC->CW-19,CC->CW,LOMAS COLORADAS,10.983,586.83
L2,L2-CC->CW-19,CC->CW,Card. Raúl Silva Henriquez,13.151,589.42
L2,L2-CC->CW-19,CC->CW,Hito Galvarino,18.048,595.25
L2,L2-CC->CW-19,CC->CW,Los Canelos,21.125,598.92
L2,L2-CC->CW-19,CC->CW,Huinca,22.524,600.58
L2,L2-CC->CW-19,CC->CW,Cristo Redentor,24.203,602.58
L2,L2-CC->CW-19,CC->CW,Laguna Quiñenco,26.302,605.08
L2,L2-CC->CW-19,CC->CW,CORONEL,28.4,607.58
L2,L2-CC->CW-20,CC->CW,CONCEPCIÓN,0.0,585.0
L2,L2-CC->CW-20,CC->CW,Juan Pablo II,3.838,590.67
L2,L2-CC->CW-20,CC->CW,Diagonal Bio Bio,5.569,593.08
L2,L2-CC->CW-20,CC->CW,Alborada,7.442,595.58
L2,L2-CC->CW-20,CC->CW,Costa Mar,8.339,597.17
L2,L2-CC->CW-20,CC->CW,El Parque,9.614,599.42
L2,L2-CC->CW-20,CC->CW,LOMAS COLORADAS,10.983,601.83
L2,L2-CC->CW-20,CC->CW,Card. Raúl Silva Henriquez,13.151,604.42
L2,L2-CC->CW-20,CC->CW,Hito Galvarino,18.048,610.25
L2,L2-CC->CW-20,CC->CW,Los Canelos,21.125,613.92
L2,L2-CC->CW-20,CC->CW,Huinca,22.524,615.58
L2,L2-CC->CW-20,CC->CW,Cristo Redentor,24.203,617.58
L2,L2-CC->CW-20,CC->CW,Laguna Quiñenco,26.302,620.08
L2,L2-CC->CW-20,CC->CW,CORONEL,28.4,622.58
L2,L2-CC->CW-21,CC->CW,CONCEPCIÓN,0.0,600.0
L2,L2-CC->CW-21,CC->CW,Juan Pablo II,3.838,605.67
L2,L2-CC->CW-21,CC->CW,Diagonal Bio Bio,5.569,608.08
L2,L2-CC->CW-21,CC->CW,Alborada,7.442,610.58
L2,L2-CC->CW-21,CC->CW,Costa Mar,8.339,612.17
L2,L2-CC->CW-21,CC->CW,El Parque,9.614,614.42
L2,L2-CC->CW-21,CC->CW,LOMAS COLORADAS,10.983,616.83
L2,L2-CC->CW-21,CC->CW,Card. Raúl Silva Henriquez,13.151,619.42
L2,L2-CC->CW-21,CC->CW,Hito Galvarino,18.048,625.25
L2,L2-CC->CW-21,CC->CW,Los Canelos,21.125,628.92
L2,L2-CC->CW-21,CC->CW,Huinca,22.524,630.58
L2,L2-CC->CW-21,CC->CW,Cristo Redentor,24.203,632.58
L2,L2-CC->CW-21,CC->CW,Laguna Quiñenco,26.302,635.08
L2,L2-CC->CW-21,CC->CW,CORONEL,28.4,637.58
L2,L2-CC->CW-22,CC->CW,CONCEPCIÓN,0.0,630.0
L2,L2-CC->CW-22,CC->CW,Juan Pablo II,3.838,635.67
L2,L2-CC->CW-22,CC->CW,Diagonal Bio Bio,5.569,638.08
L2,L2-CC->CW-22,CC->CW,Alborada,7.442,640.58
L2,L2-CC->CW-22,CC->CW,Costa Mar,8.339,642.17
L2,L2-CC->CW-22,CC->CW,El Parque,9.614,644.42
L2,L2-CC->CW-22,CC->CW,LOMAS COLORADAS,10.983,646.83
L2,L2-CC->CW-22,CC->CW,Card. Raúl Silva Henriquez,13.151,649.42
L2,L2-CC->CW-22,CC->CW,Hito Galvarino,18.048,655.25
L2,L2-CC->CW-22,CC->CW,Los Canelos,21.125,658.92
L2,L2-CC->CW-22,CC->CW,Huinca,22.524,660.58
L2,L2-CC->CW-22,CC->CW,Cristo Redentor,24.203,662.58
L2,L2-CC->CW-22,CC->CW,Laguna Quiñenco,26.302,665.08
L2,L2-CC->CW-22,CC->CW,CORONEL,28.4,667.58
L2,L2-CC->CW-23,CC->CW,CONCEPCIÓN,0.0,660.0
L2,L2-CC->CW-23,CC->CW,Juan Pablo II,3.838,665.67
L2,L2-CC->CW-23,CC->CW,Diagonal Bio Bio,5.569,668.08
L2,L2-CC->CW-23,CC->CW,Alborada,7.442,670.58
L2,L2-CC->CW-23,CC->CW,Costa Mar,8.339,672.17
L2,L2-CC->CW-23,CC->CW,El Parque,9.614,674.42
L2,L2-CC->CW-23,CC->CW,LOMAS COLORADAS,10.983,676.83
L2,L2-CC->CW-23,CC->CW,Card. Raúl Silva Henriquez,13.151,679.42
L2,L2-CC->CW-23,CC->CW,Hito Galvarino,18.048,685.25
L2,L2-CC->CW-23,CC->CW,Los Canelos,21.125,688.92
L2,L2-CC->CW-23,CC->CW,Huinca,22.524,690.58
L2,L2-CC->CW-23,CC->CW,Cristo Redentor,24.203,692.58
L2,L2-CC->CW-23,CC->CW,Laguna Quiñenco,26.302,695.08
L2,L2-CC->CW-23,CC->CW,CORONEL,28.4,697.58
L2,L2-CC->CW-24,CC->CW,CONCEPCIÓN,0.0,690.0
L2,L2-CC->CW-24,CC->CW,Juan Pablo II,3.838,695.67
L2,L2-CC->CW-24,CC->CW,Diagonal Bio Bio,5.569,698.08
L2,L2-CC->CW-24,CC->CW,Alborada,7.442,700.58
L2,L2-CC->CW-24,CC->CW,Costa Mar,8.339,702.17
L2,L2-CC->CW-24,CC->CW,El Parque,9.614,704.42
L2,L2-CC->CW-24,CC->CW,LOMAS COLORADAS,10.983,706.83
L2,L2-CC->CW-24,CC->CW,Card. Raúl Silva Henriquez,13.151,709.42
L2,L2-CC->CW-24,CC->CW,Hito Galvarino,18.048,715.25
L2,L2-CC->CW-24,CC->CW,Los Canelos,21.125,718.92
L2,L2-CC->CW-24,CC->CW,Huinca,22.524,720.58
L2,L2-CC->CW-24,CC->CW,Cristo Redentor,24.203,722.58
L2,L2-CC->CW-24,CC->CW,Laguna Quiñenco,26.302,725.08
L2,L2-CC->CW-24,CC->CW,CORONEL,28.4,727.58
L2,L2-CC->CW-25,CC->CW,CONCEPCIÓN,0.0,720.0
L2,L2-CC->CW-25,CC->CW,Juan Pablo II,3.838,725.67
L2,L2-CC->CW-25,CC->CW,Diagonal Bio Bio,5.569,728.08
L2,L2-CC->CW-25,CC->CW,Alborada,7.442,730.58
L2,L2-CC->CW-25,CC->CW,Costa Mar,8.339,732.17
L2,L2-CC->CW-25,CC->CW,El Parque,9.614,734.42
L2,L2-CC->CW-25,CC->CW,LOMAS COLORADAS,10.983,736.83
L2,L2-CC->CW-25,CC->CW,Card. Raúl Silva Henriquez,13.151,739.42
L2,L2-CC->CW-25,CC->CW,Hito Galvarino,18.048,745.25
L2,L2-CC->CW-25,CC->CW,Los Canelos,21.125,748.92
L2,L2-CC->CW-25,CC->CW,Huinca,22.524,750.58
L2,L2-CC->CW-25,CC->CW,Cristo Redentor,24.203,752.58
L2,L2-CC->CW-25,CC->CW,Laguna Quiñenco,26.302,755.08
L2,L2-CC->CW-25,CC->CW,CORONEL,28.4,757.58
L2,L2-CC->CW-26,CC->CW,CONCEPCIÓN,0.0,750.0
L2,L2-CC->CW-26,CC->CW,Juan Pablo II,3.838,755.67
L2,L2-CC->CW-26,CC->CW,Diagonal Bio Bio,5.569,758.08
L2,L2-CC->CW-26,CC->CW,Alborada,7.442,760.58
L2,L2-CC->CW-26,CC->CW,Costa Mar,8.339,762.17
L2,L2-CC->CW-26,CC->CW,El Parque,9.614,764.42
L2,L2-CC->CW-26,CC->CW,LOMAS COLORADAS,10.983,766.83
L2,L2-CC->CW-26,CC->CW,Card. Raúl Silva Henriquez,13.151,769.42
L2,L2-CC->CW-26,CC->CW,Hito Galvarino,18.048,775.25
L2,L2-CC->CW-26,CC->CW,Los Canelos,21.125,778.92
L2,L2-CC->CW-26,CC->CW,Huinca,22.524,780.58
L2,L2-CC->CW-26,CC->CW,Cristo Redentor,24.203,782.58
L2,L2-CC->CW-26,CC->CW,Laguna Quiñenco,26.302,785.08
L2,L2-CC->CW-26,CC->CW,CORONEL,28.4,787.58
L2,L2-CC->CW-27,CC->CW,CONCEPCIÓN,0.0,780.0
L2,L2-CC->CW-27,CC->CW,Juan Pablo II,3.838,785.67
L2,L2-CC->CW-27,CC->CW,Diagonal Bio Bio,5.569,788.08
L2,L2-CC->CW-27,CC->CW,Alborada,7.442,790.58
L2,L2-CC->CW-27,CC->CW,Costa Mar,8.339,792.17
L2,L2-CC->CW-27,CC->CW,El Parque,9.614,794.42
L2,L2-CC->CW-27,CC->CW,LOMAS COLORADAS,10.983,796.83
L2,L2-CC->CW-27,CC->CW,Card. Raúl Silva Henriquez,13.151,799.42
L2,L2-CC->CW-27,CC->CW,Hito Galvarino,18.048,805.25
L2,L2-CC->CW-27,CC->CW,Los Canelos,21.125,808.92
L2,L2-CC->CW-27,CC->CW,Huinca,22.524,810.58
L2,L2-CC->CW-27,CC->CW,Cristo Redentor,24.203,812.58
L2,L2-CC->CW-27,CC->CW,Laguna Quiñenco,26.302,815.08
L2,L2-CC->CW-27,CC->CW,CORONEL,28.4,817.58
